beginning_est_in_datetime,mw,PRCP,TMIN,TMAX,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,lag_1,lag_2,lag_24,lag_48,lag_168
2024-01-10 17:00:00-05:00,15312.614,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14363.083,13579.768,15107.579,15470.036,15597.342
2024-01-10 18:00:00-05:00,15486.647,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15312.614,14363.083,14687.202,15835.579,15724.609
2024-01-10 19:00:00-05:00,15421.309,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15486.647,15312.614,14176.673,15977.982,15657.917
2024-01-10 20:00:00-05:00,15275.418,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15421.309,15486.647,13612.343,15907.373,15447.356
2024-01-10 21:00:00-05:00,14970.577,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15275.418,15421.309,12953.028,15651.663,14979.517
2024-01-10 22:00:00-05:00,14409.31,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14970.577,15275.418,12315.285,15151.674,14390.26
2024-01-10 23:00:00-05:00,13986.472,1.8500000000000003,33.666666666666664,48.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14409.31,14970.577,11804.61,14641.099,13789.158
2024-01-11 00:00:00-05:00,13731.333,0.0,30.0,50.666666666666664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13986.472,14409.31,11516.688,14365.752,13407.983
2024-01-11 01:00:00-05:00,13709.487,0.0,30.0,50.666666666666664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13731.333,13986.472,11366.432,14137.42,13245.698
2024-01-11 02:00:00-05:00,13835.24,0.0,30.0,50.666666666666664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13709.487,13731.333,11306.416,14000.221,13190.703
